arm,chat_rate,code_rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","50","0.5","42",22.135240653236288,4939.892320721636,664,108.95552023498695,138.98030000000006,154.35275000000001,723.5882400000004,10698.232293674699,19295.8089,21358.7572,24028.104890000002,47.72037935195228,65.862,68.392,71.527,0,0,0,"OVERLOADED",0.8031383260572904
"agg-4xtp4","50","0.5","123",20.449131650809026,4634.580522425608,613,99.48009334248455,132.49400000000003,144.31199999999998,550.7640799999999,10117.627913539967,18035.5072,19815.6076,23862.04104,44.44651889500206,59.757,63.55,68.953,0,0,0,"OVERLOADED",0.73008408661246
"agg-4xtp4","50","0.5","777",21.344398269396187,4431.1637819712405,640,107.25494393139842,137.49099999999999,149.38049999999998,646.8582999999992,9748.9223,18056.493400000003,20746.803299999996,23545.734800000002,46.73549948572898,65.723,68.253,73.688,0,0,0,"OVERLOADED",0.8678688166017196
"agg-4xtp4","50","1","42",21.237081678249545,4650.187424747134,637,111.86814618369986,147.0755,163.6585,666.6453999999987,10656.907557299843,19399.4402,21324.5988,25361.092399999998,48.46615902739765,67.908,73.498,79.445,0,0,0,"OVERLOADED",0.8524904837755629
"agg-4xtp4","50","1","123",19.7834938470832,4368.615798978084,593,103.3096786440678,141.9864,161.79500000000002,455.3945199999997,10235.177715008433,18799.4562,20580.546599999998,24277.945360000005,46.15627525047179,62.385,68.694,77.692,0,0,0,"OVERLOADED",0.7367848589558436
"agg-4xtp4","50","1","777",20.93722975179014,4281.8301819301905,628,104.43495689092096,140.379,158.42849999999999,454.6744000000003,9888.58645700637,18626.679500000006,20448.208,23869.08047,48.123577560777136,65.06,69.914,77.086,0,0,0,"OVERLOADED",0.8685291088002078
"agg-4xtp4","50","2","42",19.37008548675508,4051.981841461685,581,126.19705283259071,170.174,236.1235,770.6406999999994,10842.980975903616,20089.047,22164.208,25633.120000000003,51.60785887546814,76.875,84.326,96.634,0,0,0,"OVERLOADED",0.9540723621330721
"agg-4xtp4","50","2","123",18.40477419842707,3851.665788772274,552,111.94373253493013,160.98839999999996,183.43159999999997,472.93706000000026,10349.357672101449,18965.05360000001,21549.25319999999,24755.17264,49.22478948055111,70.56,76.603,89.224,0,0,0,"OVERLOADED",0.8466238766447005
"agg-4xtp4","50","2","777",19.439087303175075,3817.0965272387293,583,114.38047066326531,165.4415,191.6080999999997,450.03931999999924,10047.57278044597,19388.347400000002,21394.0363,26275.10103999999,50.926800475872724,74.95,82.067,92.471,0,0,0,"OVERLOADED",1
"agg-4xtp4","50","5","42",15.269361709008306,2716.7795115837944,458,309.07695263870096,455.7507999999997,1971.4348999999947,3347.3018500000003,11116.38208951965,21562.8211,23499.496499999994,26792.648390000002,62.10650200540534,101.625,106.376,116.161,0,0,0,"OVERLOADED",1
"agg-4xtp4","50","5","123",15.299512169375621,2757.920796296182,458,185.20125472972973,247.32060000000018,455.0988999999998,1789.631450000003,10614.948329694324,20657.062100000003,22901.118199999997,25937.172909999998,58.57238645830795,88.471,103.769,120.034,0,0,0,"OVERLOADED",1
"agg-4xtp4","50","5","777",15.973432480217538,2644.153308536386,479,258.2011524064171,352.1345,1155.133,3013.5050499999975,10154.966945720249,20414.4906,22749.152299999998,26477.251739999996,60.99601808100289,100.774,108.833,117.627,0,0,0,"OVERLOADED",1
"agg-4xtp4","80","0.5","42",22.935084809309938,4563.815190020011,688,1647.8573552168814,6899.657,8025.8595000000005,9131.56315,12813.735674418604,22311.362900000004,24263.8534,27393.89197,63.16151342720386,83.77,85.355,85.909,0,0,0,"OVERLOADED",1
"agg-4xtp4","80","0.5","123",21.233773580238896,4276.988676231887,637,1288.4584562462283,6366.754600000005,7795.517399999998,8934.48492,12340.355386185243,21759.076399999994,24114.1954,26692.980679999997,60.37320552988173,83.12,83.889,85.401,0,0,0,"OVERLOADED",1
