arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.2","42",0.20018432816793927,102.97541896257246,1000,311.313851,1278.0904,1654.9941499999998,1829.084,9305.447452999999,16541.2116,18367.429799999994,22800.26285,17.517148520752706,19.781,20.47,20.687,0,0,0,"STABLE",0
"agg-4xtp4","0.2","123",0.19093777877399012,98.28464881057509,1000,291.107598,1164.6262000000002,1479.0507999999995,1829.084,9240.21824,15590.423,17194.371750000002,20805.027319999997,17.417782764668214,19.495,20.103,20.524,0,0,0,"OVERLOADED",0.03373389316975179
"agg-4xtp4","0.2","777",0.21325894333644957,109.84989497154851,1000,303.81959,1202.0911,1594.3336000000002,1829.084,9327.027724,16408.570200000002,18148.361599999997,21946.659889999995,17.549919439954408,19.762,20.313,23.087,0,0,0,"STABLE",0
"agg-4xtp4","0.5","42",0.4986991654191171,256.53234678909007,1000,320.589759,1299.8834000000004,1678.4358499999998,1918.04423,9686.872008,17036.052,19431.228749999995,24683.683279999997,18.242015042763676,20.536,21.582,36.922,0,0,0,"STABLE",0
"agg-4xtp4","0.5","123",0.4753118924866402,244.66537072182058,1000,299.63266600000003,1206.7772000000002,1500.0538499999998,1841.1629799999998,9566.262069,16341.4412,18112.078999999994,21440.14467,18.035827757631676,20.22,20.7,25.802,0,0,0,"STABLE",0
"agg-4xtp4","0.5","777",0.5312860366171804,273.66596874754623,1000,313.76681199999996,1218.8196,1602.9028,1854.25415,9698.556154,17214.995600000002,19060.0804,23711.76357,18.253246622745337,20.493,22.065,37.999,0,0,0,"STABLE",0
"agg-4xtp4","1","42",0.9866059520413767,507.5130615479403,1000,335.60904,1326.7477000000001,1729.9389499999995,1991.22327,10496.618926000001,18370.0979,21442.046499999997,26509.750819999994,19.789975683819534,23.105,25.528,46.444,0,0,0,"STABLE",0
"agg-4xtp4","1","123",0.9404601117207552,484.09902112792355,1000,314.376079,1230.9627,1544.822,1921.25565,10242.875096999998,17645.0564,19612.793299999998,24370.23217,19.3241459667891,22.572,24.202699999999954,44.23453999999998,0,0,0,"STABLE",0
"agg-4xtp4","1","777",1.055219447994953,543.5445928816483,1000,334.463331,1264.9174,1660.8053999999995,1973.03034,10473.998779,18272.9493,20788.572999999997,26089.697809999998,19.721335784213608,23.335,26.633,46.159,0,0,0,"STABLE",0
"agg-4xtp4","2","42",1.9154250871674523,985.3004111141989,1000,391.99569099999997,1436.5868000000003,1857.2293,2213.26597,12503.504257999999,22228.656000000003,25551.96239999999,33719.229719999996,23.589132839114693,31.54,44.923,54.276,0,0,0,"STABLE",0
"agg-4xtp4","2","123",1.8406769453184175,947.4829355718194,1000,355.650854,1318.709,1649.2412999999995,2023.2513,11897.018576999999,20582.6744,22656.63415,29068.52726,22.463568104533945,28.783,41.263,50.845,0,0,0,"STABLE",0
"agg-4xtp4","2","777",2.0715189944164027,1067.0415055428834,1000,412.878807,1529.92,1865.5206499999997,2387.316209999999,12545.935908,22148.9302,24996.6671,34315.44048,23.599020622406883,32.415,45.257,54.521,0,0,0,"STABLE",0
