arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.2","42",0.190171655274472,1458.9478749786883,1000,53.578841,65.47420000000002,85.01209999999999,100.67239999999997,154459.451132,358656.75580000004,448808.0882999999,658820.2388200001,20.12909511113788,22.057,22.716,23.659,0,0,0,"STABLE",0
"agg-4xtp4","0.2","123",0.1842305174164911,1466.9351264677755,1000,53.43567899999999,65.53510000000001,81.85164999999999,93.86278,163002.935055,388826.7525,505126.58984999976,675584.42641,20.46709330028093,22.667,23.51,25.77,0,0,0,"STABLE",0
"agg-4xtp4","0.2","777",0.18069279342615766,1381.6258855906265,1000,52.602064,63.3241,76.13039999999998,93.24423,153060.820908,369890.5070000001,479061.2028499999,654600.0512699999,20.013347055630476,22.086,22.637,23.493,0,0,0,"STABLE",0
"agg-4xtp4","0.5","42",0.3786871868689851,2905.1903963646414,1000,62.496396999999995,79.0795,94.02879999999999,116.89018999999999,203089.595667,484643.8482,605084.5516499998,883224.2046899999,26.4676249403252,31.55,33.273,35.058,0,0,0,"OVERLOADED",0.7388932115077063
"agg-4xtp4","0.5","123",0.3856379527417573,3070.6414274303365,1000,62.726182,80.906,96.45145,116.49437999999999,216580.324897,530860.7264,672641.50935,906693.45339,27.195487798276154,32.708,34.413,36.903,0,0,0,"OVERLOADED",0.8830127588784463
"agg-4xtp4","0.5","777",0.3808031483329834,2911.7236890040413,1000,62.287786,78.838,90.66255,116.62747999999999,201207.511189,486164.2849,640668.3388999997,877236.94806,26.309658966001198,30.704,31.96,34.576,0,0,0,"OVERLOADED",0.6568895822155335
"agg-4xtp4","1","42",0.5075018383797344,3893.42316857502,1000,72.452745,98.0603,115.5063,150.21412999999998,269648.23450900003,650393.3661,826598.4153999998,1138900.8157600001,35.143276199877405,45.233,46.911,48.813,0,0,0,"OVERLOADED",1
"agg-4xtp4","1","123",0.5079499451637304,4044.5504224663123,1000,72.380207,101.7194,112.20344999999999,137.78924999999998,285582.204752,741200.9714,906431.7513999996,1157207.99152,35.86122203949558,47.399,49.829,51.626,0,0,0,"OVERLOADED",1
"agg-4xtp4","1","777",0.5175565464401062,3957.3770943485906,1000,72.180535,97.1921,105.61299999999999,145.18221,264232.093932,678402.4194,858567.3447999997,1120234.09892,34.55196957033565,43.422,44.285,45.234,0,0,0,"OVERLOADED",1
"agg-4xtp4","2","42",0.5849863309636965,4487.864204680091,1000,76.288129,106.83070000000001,121.91659999999995,155.60091,321228.05840499996,796932.0493000001,959117.5316499998,1283853.88032,41.867004948934536,55.361,56.485,57.488,0,0,0,"OVERLOADED",1
"agg-4xtp4","2","123",0.5852143080457711,4659.767757385836,1000,74.830079,105.18400000000001,116.817,146.81563999999992,333598.370326,870774.4945,1066635.9867999998,1262621.91631,41.891960940893284,54.13,55.437,57.163,0,0,0,"OVERLOADED",1
"agg-4xtp4","2","777",0.603949124519154,4617.958072337071,1000,75.26191899999999,103.63900000000001,116.31105,157.38357,313311.347521,833703.9483,983721.3986999999,1219944.2909199998,40.971124447141825,52.071,54.883,57.573,0,0,0,"OVERLOADED",1
"agg-4xtp4","5","42",0.637927062440903,4894.011837864498,1000,72.053892,99.894,115.22714999999998,148.11330999999998,356207.32690100005,883038.9168000001,1047751.2389,1357854.27947,46.427646244522364,58.806,60.727,63.59,0,0,0,"OVERLOADED",1
"agg-4xtp4","5","123",0.6404215092475309,5099.354986540447,1000,72.12858100000001,100.8621,112.19339999999998,145.91384,369309.600367,933400.3625,1132894.64895,1355605.00702,46.377791564602546,57.795,59.722,61.357,0,0,0,"OVERLOADED",1
"agg-4xtp4","5","777",0.6661588222649365,5093.630217919716,1000,72.206361,100.95960000000001,112.95794999999998,150.03409999999997,346594.96884600003,901549.9614,1067141.0395499999,1275474.3775499999,45.32501605371687,56.049,56.72,58.067,0,0,0,"OVERLOADED",1
"agg-4xtp4","10","42",0.659253643800205,5057.623867795072,1000,69.071719,94.8058,109.98079999999997,136.31599,367811.084566,903941.3797,1066140.2936499994,1371427.38534,47.940764511047306,59.768,61.838,64.989,0,0,0,"OVERLOADED",1
"agg-4xtp4","10","123",0.662110836493285,5272.056211356108,1000,68.306717,96.0602,103.96689999999992,139.19012999999998,382064.037195,947504.7402000001,1157623.4542999999,1378804.77001,47.980286307677275,59.174,60.618,63.065,0,0,0,"OVERLOADED",1
